position,AM
minutes,1107.0
passes_completed,372.0
passes,532.0
dribbles_completed,24.0
dribbles,52.0
passes_completed_short,206.0
passes_short,238.0
passes_completed_medium,113.0
passes_medium,145.0
passes_completed_long,44.0
passes_long,123.0
passes_total_distance,6133.0
passes_free_kicks,38.0
through_balls,2.0
passes_pressure,86.0
passes_switches,26.0
crosses,30.0
corner_kicks,54.0
passes_intercepted,10.0
passes_blocked,19.0
dispossessed,45.0
goals,2.0
assists,5.0
pens_made,0.0
pens_att,0.0
shots_total,32.0
shots_on_target,13.0
sca,52.0
gca,6.0
xg,2.8000000000000003
crosses_into_penalty_area,2.0
passes_into_final_third,29.0
passes_into_penalty_area,12.0
progressive_passes,24.0
carry_progressive_distance,1602.0
assisted_shots,25.0
fouled,34.0
pens_won,0.0
tackles,22.0
interceptions,8.0
blocks,11.0
tackles_won,12.0
dribble_tackles,5.0
dribbles_vs,25.0
pressures,266.0
pressure_regains,85.0
clearances,6.0
errors,0.0
aerials_won,3.0
aerials_lost,20.0
ball_recoveries,95.0
pens_conceded,0.0
fouls,12.0
cards_yellow_red,0.0
