position,CM
passes_completed,0.3118374558303887
passes,0.42402826855123676
dribbles_completed,0.024146054181389872
dribbles,0.044464075382803295
passes_completed_short,0.15665488810365136
passes_short,0.1875736160188457
passes_completed_medium,0.12426383981154299
passes_medium,0.15959952885747938
passes_completed_long,0.026207302709069492
passes_long,0.05182567726737338
passes_total_distance,5.186101295641932
passes_free_kicks,0.0014723203769140165
through_balls,0.0014723203769140165
passes_pressure,0.09187279151943463
passes_switches,0.008539458186101296
crosses,0.021790341578327443
corner_kicks,0.002944640753828033
passes_intercepted,0.012956419316843345
passes_blocked,0.02237926972909305
dispossessed,0.02237926972909305
goals,0.001177856301531213
assists,0.0014723203769140165
pens_made,0.0
pens_att,0.0
shots_total,0.01060070671378092
shots_on_target,0.00265017667844523
sca,0.038869257950530034
gca,0.00441696113074205
xg,0.0010895170789163725
crosses_into_penalty_area,0.00441696113074205
passes_into_final_third,0.024440518256772674
passes_into_penalty_area,0.0176678445229682
progressive_passes,0.04122497055359246
carry_progressive_distance,1.7706124852767962
assisted_shots,0.018256772673733806
fouled,0.010895170789163721
pens_won,0.0
tackles,0.02149587750294464
interceptions,0.013545347467608953
blocks,0.024146054181389872
tackles_won,0.013545347467608953
dribble_tackles,0.006478209658421673
dribbles_vs,0.02856301531213192
pressures,0.22408716136631332
pressure_regains,0.05742049469964664
clearances,0.00530035335689046
errors,0.0
aerials_won,0.0008833922261484099
aerials_lost,0.0076560659599528855
ball_recoveries,0.09246171967020024
pens_conceded,0.0
fouls,0.01060070671378092
cards_yellow_red,0.0
