position,RW
minutes,2635.0
passes_completed,923.0
passes,1157.0
dribbles_completed,12.0
dribbles,19.0
passes_completed_short,403.0
passes_short,487.0
passes_completed_medium,394.0
passes_medium,477.0
passes_completed_long,101.0
passes_long,145.0
passes_total_distance,16431.0
passes_free_kicks,31.0
through_balls,2.0
passes_pressure,215.0
passes_switches,18.0
crosses,10.0
corner_kicks,12.0
passes_intercepted,18.0
passes_blocked,20.0
dispossessed,19.0
goals,2.0
assists,6.0
pens_made,0.0
pens_att,0.0
shots_total,45.0
shots_on_target,7.0
sca,52.0
gca,7.0
xg,2.6
crosses_into_penalty_area,0.0
passes_into_final_third,54.0
passes_into_penalty_area,15.0
progressive_passes,70.0
carry_progressive_distance,1684.0
assisted_shots,26.0
fouled,34.0
pens_won,0.0
tackles,58.0
interceptions,39.0
blocks,46.0
tackles_won,37.0
dribble_tackles,11.0
dribbles_vs,24.0
pressures,606.0
pressure_regains,137.0
clearances,53.0
errors,2.0
aerials_won,75.0
aerials_lost,46.0
ball_recoveries,261.0
pens_conceded,0.0
fouls,71.0
cards_yellow_red,0.0
