position,LW
minutes,2549.0
passes_completed,615.0
passes,848.0
dribbles_completed,72.0
dribbles,146.0
passes_completed_short,312.0
passes_short,386.0
passes_completed_medium,242.0
passes_medium,304.0
passes_completed_long,43.0
passes_long,94.0
passes_total_distance,9785.0
passes_free_kicks,3.0
through_balls,1.0
passes_pressure,202.0
passes_switches,14.0
crosses,55.0
corner_kicks,5.0
passes_intercepted,27.0
passes_blocked,55.0
dispossessed,77.0
goals,3.0
assists,0.0
pens_made,1.0
pens_att,1.0
shots_total,47.0
shots_on_target,13.0
sca,54.0
gca,1.0
xg,3.7000000000000006
crosses_into_penalty_area,9.0
passes_into_final_third,30.0
passes_into_penalty_area,21.0
progressive_passes,63.0
carry_progressive_distance,6460.0
assisted_shots,21.0
fouled,60.0
pens_won,0.0
tackles,50.0
interceptions,17.0
blocks,46.0
tackles_won,28.0
dribble_tackles,14.0
dribbles_vs,51.0
pressures,466.0
pressure_regains,140.0
clearances,8.0
errors,0.0
aerials_won,11.0
aerials_lost,21.0
ball_recoveries,224.0
pens_conceded,0.0
fouls,33.0
cards_yellow_red,0.0
