position,RW
minutes,628.0
passes_completed,0.2818471337579618
passes,0.4585987261146497
dribbles_completed,0.0015923566878980893
dribbles,0.006369426751592357
passes_completed_short,0.13694267515923567
passes_short,0.20382165605095542
passes_completed_medium,0.10191082802547771
passes_medium,0.16401273885350318
passes_completed_long,0.03821656050955414
passes_long,0.06847133757961783
passes_total_distance,5.179936305732484
passes_free_kicks,0.0015923566878980893
through_balls,0.0015923566878980893
passes_pressure,0.10509554140127389
passes_switches,0.01910828025477707
crosses,0.050955414012738856
corner_kicks,0.0
passes_intercepted,0.0031847133757961785
passes_blocked,0.04777070063694268
dispossessed,0.007961783439490446
goals,0.0015923566878980893
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.01592356687898089
shots_on_target,0.006369426751592357
sca,0.025477707006369428
gca,0.004777070063694267
xg,0.0004777070063694268
crosses_into_penalty_area,0.006369426751592357
passes_into_final_third,0.020700636942675158
passes_into_penalty_area,0.020700636942675158
progressive_passes,0.04777070063694268
carry_progressive_distance,1.856687898089172
assisted_shots,0.009554140127388535
fouled,0.011146496815286623
pens_won,0.0
tackles,0.009554140127388535
interceptions,0.009554140127388535
blocks,0.025477707006369428
tackles_won,0.004777070063694267
dribble_tackles,0.0015923566878980893
dribbles_vs,0.011146496815286623
pressures,0.1926751592356688
pressure_regains,0.05573248407643312
clearances,0.004777070063694267
errors,0.0
aerials_won,0.0031847133757961785
aerials_lost,0.007961783439490446
ball_recoveries,0.10191082802547771
pens_conceded,0.0
fouls,0.011146496815286623
cards_yellow_red,0.0
