position,LM
minutes,978.0
passes_completed,0.310838445807771
passes,0.42535787321063395
dribbles_completed,0.014314928425357873
dribbles,0.027607361963190184
passes_completed_short,0.130879345603272
passes_short,0.16462167689161555
passes_completed_medium,0.12474437627811862
passes_medium,0.15644171779141106
passes_completed_long,0.046012269938650305
passes_long,0.0787321063394683
passes_total_distance,5.848670756646217
passes_free_kicks,0.011247443762781187
through_balls,0.005112474437627812
passes_pressure,0.06748466257668712
passes_switches,0.012269938650306749
crosses,0.024539877300613498
corner_kicks,0.024539877300613498
passes_intercepted,0.009202453987730062
passes_blocked,0.018404907975460124
dispossessed,0.027607361963190184
goals,0.003067484662576687
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.022494887525562373
shots_on_target,0.010224948875255624
sca,0.04805725971370143
gca,0.00408997955010225
xg,0.0024539877300613503
crosses_into_penalty_area,0.00408997955010225
passes_into_final_third,0.02147239263803681
passes_into_penalty_area,0.022494887525562373
progressive_passes,0.050102249488752554
carry_progressive_distance,2.114519427402863
assisted_shots,0.02556237218813906
fouled,0.012269938650306749
pens_won,0.0
tackles,0.011247443762781187
interceptions,0.007157464212678937
blocks,0.011247443762781187
tackles_won,0.007157464212678937
dribble_tackles,0.003067484662576687
dribbles_vs,0.013292433537832311
pressures,0.19529652351738241
pressure_regains,0.0541922290388548
clearances,0.003067484662576687
errors,0.0
aerials_won,0.002044989775051125
aerials_lost,0.014314928425357873
ball_recoveries,0.07259713701431493
pens_conceded,0.0
fouls,0.009202453987730062
cards_yellow_red,0.0
