position,DM
passes_completed,0.3125
passes,0.44886363636363635
dribbles_completed,0.014204545454545454
dribbles,0.028409090909090908
passes_completed_short,0.14204545454545456
passes_short,0.1903409090909091
passes_completed_medium,0.125
passes_medium,0.1590909090909091
passes_completed_long,0.04261363636363636
passes_long,0.09090909090909091
passes_total_distance,5.931818181818182
passes_free_kicks,0.011363636363636364
through_balls,0.0
passes_pressure,0.08522727272727272
passes_switches,0.02556818181818182
crosses,0.008522727272727272
corner_kicks,0.011363636363636364
passes_intercepted,0.014204545454545454
passes_blocked,0.014204545454545454
dispossessed,0.011363636363636364
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.017045454545454544
shots_on_target,0.002840909090909091
sca,0.008522727272727272
gca,0.0
xg,0.0014204545454545455
crosses_into_penalty_area,0.002840909090909091
passes_into_final_third,0.048295454545454544
passes_into_penalty_area,0.008522727272727272
progressive_passes,0.03977272727272727
carry_progressive_distance,1.7556818181818181
assisted_shots,0.005681818181818182
fouled,0.022727272727272728
pens_won,0.0
tackles,0.014204545454545454
interceptions,0.03409090909090909
blocks,0.017045454545454544
tackles_won,0.011363636363636364
dribble_tackles,0.011363636363636364
dribbles_vs,0.045454545454545456
pressures,0.29261363636363635
pressure_regains,0.08806818181818182
clearances,0.002840909090909091
errors,0.0
aerials_won,0.002840909090909091
aerials_lost,0.002840909090909091
ball_recoveries,0.13636363636363635
pens_conceded,0.0
fouls,0.019886363636363636
cards_yellow_red,0.0
