position,LM
minutes,3552.0
passes_completed,942.0
passes,1418.0
dribbles_completed,48.0
dribbles,90.0
passes_completed_short,439.0
passes_short,580.0
passes_completed_medium,391.0
passes_medium,561.0
passes_completed_long,96.0
passes_long,214.0
passes_total_distance,16680.0
passes_free_kicks,6.0
through_balls,5.0
passes_pressure,274.0
passes_switches,41.0
crosses,152.0
corner_kicks,1.0
passes_intercepted,40.0
passes_blocked,84.0
dispossessed,51.0
goals,5.0
assists,5.0
pens_made,0.0
pens_att,0.0
shots_total,79.0
shots_on_target,23.0
sca,112.0
gca,10.0
xg,10.9
crosses_into_penalty_area,33.0
passes_into_final_third,61.0
passes_into_penalty_area,61.0
progressive_passes,120.0
carry_progressive_distance,5679.0
assisted_shots,61.0
fouled,46.0
pens_won,2.0
tackles,77.0
interceptions,34.0
blocks,88.0
tackles_won,53.0
dribble_tackles,21.0
dribbles_vs,89.0
pressures,1007.0
pressure_regains,243.0
clearances,33.0
errors,0.0
aerials_won,41.0
aerials_lost,60.0
ball_recoveries,296.0
pens_conceded,1.0
fouls,86.0
cards_yellow_red,0.0
