position,WB
minutes,2854.0
passes_completed,853.0
passes,1343.0
dribbles_completed,21.0
dribbles,42.0
passes_completed_short,317.0
passes_short,400.0
passes_completed_medium,403.0
passes_medium,583.0
passes_completed_long,126.0
passes_long,297.0
passes_total_distance,17137.0
passes_free_kicks,32.0
through_balls,1.0
passes_pressure,183.0
passes_switches,39.0
crosses,72.0
corner_kicks,25.0
passes_intercepted,23.0
passes_blocked,73.0
dispossessed,35.0
goals,0.0
assists,4.0
pens_made,0.0
pens_att,0.0
shots_total,28.0
shots_on_target,7.0
sca,29.0
gca,5.0
xg,0.9000000000000001
crosses_into_penalty_area,8.0
passes_into_final_third,65.0
passes_into_penalty_area,20.0
progressive_passes,82.0
carry_progressive_distance,2498.0
assisted_shots,18.0
fouled,29.0
pens_won,0.0
tackles,64.0
interceptions,37.0
blocks,92.0
tackles_won,25.0
dribble_tackles,26.0
dribbles_vs,50.0
pressures,418.0
pressure_regains,97.0
clearances,121.0
errors,1.0
aerials_won,59.0
aerials_lost,45.0
ball_recoveries,244.0
pens_conceded,1.0
fouls,43.0
cards_yellow_red,0.0
