position,LW
passes_completed,0.2031496062992126
passes,0.29606299212598425
dribbles_completed,0.006299212598425197
dribbles,0.015748031496062992
passes_completed_short,0.11181102362204724
passes_short,0.15433070866141732
passes_completed_medium,0.07086614173228346
passes_medium,0.09291338582677165
passes_completed_long,0.007874015748031496
passes_long,0.025196850393700787
passes_total_distance,2.921259842519685
passes_free_kicks,0.0015748031496062992
through_balls,0.0015748031496062992
passes_pressure,0.06456692913385827
passes_switches,0.0
crosses,0.004724409448818898
corner_kicks,0.0
passes_intercepted,0.015748031496062992
passes_blocked,0.01732283464566929
dispossessed,0.012598425196850394
goals,0.0031496062992125984
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.01889763779527559
shots_on_target,0.011023622047244094
sca,0.02047244094488189
gca,0.0
xg,0.0018897637795275593
crosses_into_penalty_area,0.0
passes_into_final_third,0.015748031496062992
passes_into_penalty_area,0.011023622047244094
progressive_passes,0.02204724409448819
carry_progressive_distance,1.1244094488188976
assisted_shots,0.009448818897637795
fouled,0.03937007874015748
pens_won,0.0
tackles,0.012598425196850394
interceptions,0.009448818897637795
blocks,0.007874015748031496
tackles_won,0.006299212598425197
dribble_tackles,0.0031496062992125984
dribbles_vs,0.011023622047244094
pressures,0.13700787401574804
pressure_regains,0.025196850393700787
clearances,0.015748031496062992
errors,0.0
aerials_won,0.007874015748031496
aerials_lost,0.01732283464566929
ball_recoveries,0.06141732283464567
pens_conceded,0.0
fouls,0.012598425196850394
cards_yellow_red,0.0
