position,RW
minutes,1024.0
passes_completed,261.0
passes,396.0
dribbles_completed,25.0
dribbles,45.0
passes_completed_short,127.0
passes_short,163.0
passes_completed_medium,101.0
passes_medium,136.0
passes_completed_long,26.0
passes_long,69.0
passes_total_distance,4579.0
passes_free_kicks,4.0
through_balls,8.0
passes_pressure,98.0
passes_switches,17.0
crosses,29.0
corner_kicks,14.0
passes_intercepted,12.0
passes_blocked,25.0
dispossessed,32.0
goals,0.0
assists,3.0
pens_made,0.0
pens_att,0.0
shots_total,20.0
shots_on_target,2.0
sca,27.0
gca,3.0
xg,0.9
crosses_into_penalty_area,5.0
passes_into_final_third,20.0
passes_into_penalty_area,23.0
progressive_passes,43.0
carry_progressive_distance,1963.0
assisted_shots,19.0
fouled,21.0
pens_won,0.0
tackles,13.0
interceptions,1.0
blocks,9.0
tackles_won,10.0
dribble_tackles,5.0
dribbles_vs,19.0
pressures,178.0
pressure_regains,58.0
clearances,6.0
errors,0.0
aerials_won,3.0
aerials_lost,18.0
ball_recoveries,85.0
pens_conceded,0.0
fouls,9.0
cards_yellow_red,0.0
