position,AM
minutes,3352.0
passes_completed,821.0
passes,1110.0
dribbles_completed,44.0
dribbles,98.0
passes_completed_short,417.0
passes_short,496.0
passes_completed_medium,305.0
passes_medium,402.0
passes_completed_long,72.0
passes_long,150.0
passes_total_distance,13546.0
passes_free_kicks,14.0
through_balls,2.0
passes_pressure,213.0
passes_switches,41.0
crosses,63.0
corner_kicks,50.0
passes_intercepted,22.0
passes_blocked,39.0
dispossessed,53.0
goals,3.0
assists,2.0
pens_made,0.0
pens_att,1.0
shots_total,120.0
shots_on_target,38.0
sca,96.0
gca,6.0
xg,9.9
crosses_into_penalty_area,8.0
passes_into_final_third,47.0
passes_into_penalty_area,32.0
progressive_passes,72.0
carry_progressive_distance,3381.0
assisted_shots,38.0
fouled,95.0
pens_won,2.0
tackles,36.0
interceptions,18.0
blocks,32.0
tackles_won,28.0
dribble_tackles,9.0
dribbles_vs,45.0
pressures,745.0
pressure_regains,172.0
clearances,6.0
errors,0.0
aerials_won,19.0
aerials_lost,40.0
ball_recoveries,231.0
pens_conceded,0.0
fouls,52.0
cards_yellow_red,0.0
