position,AM
passes_completed,0.3810264385692068
passes,0.48885432866770345
dribbles_completed,0.01088646967340591
dribbles,0.013996889580093312
passes_completed_short,0.18973561430793157
passes_short,0.22706065318818042
passes_completed_medium,0.14152410575427682
passes_medium,0.17573872472783825
passes_completed_long,0.041990668740279936
passes_long,0.06687402799377916
passes_total_distance,6.627268014515293
passes_free_kicks,0.0036288232244686366
through_balls,0.0
passes_pressure,0.1166407465007776
passes_switches,0.011404872991187144
crosses,0.0010368066355624676
corner_kicks,0.0005184033177812338
passes_intercepted,0.01088646967340591
passes_blocked,0.009849663037843442
dispossessed,0.010368066355624676
goals,0.0
assists,0.0015552099533437014
pens_made,0.0
pens_att,0.0
shots_total,0.00414722654224987
shots_on_target,0.0015552099533437014
sca,0.022291342664593053
gca,0.0036288232244686366
xg,0.0004665629860031104
crosses_into_penalty_area,0.0
passes_into_final_third,0.02592016588906169
passes_into_penalty_area,0.006220839813374806
progressive_passes,0.0321410057024365
carry_progressive_distance,0.7879730430274754
assisted_shots,0.00829445308449974
fouled,0.0036288232244686366
pens_won,0.0
tackles,0.05184033177812338
interceptions,0.014515292897874546
blocks,0.02280974598237429
tackles_won,0.0383618455158113
dribble_tackles,0.01762571280456195
dribbles_vs,0.05287713841368585
pressures,0.33748055987558323
pressure_regains,0.0844997407983411
clearances,0.01918092275790565
errors,0.0
aerials_won,0.015552099533437015
aerials_lost,0.007776049766718507
ball_recoveries,0.13841368584758942
pens_conceded,0.0005184033177812338
fouls,0.029548989113530325
cards_yellow_red,0.0005184033177812338
