position,LW
minutes,659.0
passes_completed,0.2564491654021244
passes,0.3884673748103187
dribbles_completed,0.015174506828528073
dribbles,0.025796661608497723
passes_completed_short,0.11684370257966616
passes_short,0.165402124430956
passes_completed_medium,0.11532625189681335
passes_medium,0.15629742033383914
passes_completed_long,0.02276176024279211
passes_long,0.051593323216995446
passes_total_distance,4.517450682852807
passes_free_kicks,0.0015174506828528073
through_balls,0.0015174506828528073
passes_pressure,0.1047040971168437
passes_switches,0.012139605462822459
crosses,0.03490136570561457
corner_kicks,0.0
passes_intercepted,0.015174506828528073
passes_blocked,0.021244309559939303
dispossessed,0.013657056145675266
goals,0.0015174506828528073
assists,0.0015174506828528073
pens_made,0.0
pens_att,0.0
shots_total,0.021244309559939303
shots_on_target,0.004552352048558422
sca,0.028831562974203338
gca,0.0015174506828528073
xg,0.0037936267071320175
crosses_into_penalty_area,0.007587253414264037
passes_into_final_third,0.015174506828528073
passes_into_penalty_area,0.010622154779969651
progressive_passes,0.03793626707132018
carry_progressive_distance,1.8801213960546281
assisted_shots,0.019726858877086494
fouled,0.021244309559939303
pens_won,0.0
tackles,0.01669195751138088
interceptions,0.009104704097116844
blocks,0.027314112291350532
tackles_won,0.012139605462822459
dribble_tackles,0.007587253414264037
dribbles_vs,0.021244309559939303
pressures,0.26555386949924126
pressure_regains,0.0622154779969651
clearances,0.0030349013657056147
errors,0.0
aerials_won,0.012139605462822459
aerials_lost,0.025796661608497723
ball_recoveries,0.08801213960546282
pens_conceded,0.0
fouls,0.025796661608497723
cards_yellow_red,0.0
