position,DM
passes_completed,0.6007846067625631
passes,0.672520082196899
dribbles_completed,0.01793386885858397
dribbles,0.02764804782365029
passes_completed_short,0.2677003549411545
passes_short,0.29030450214832804
passes_completed_medium,0.2583597982439753
passes_medium,0.27760134504016437
passes_completed_long,0.06351578554081823
passes_long,0.08331776573883803
passes_total_distance,10.63142163272931
passes_free_kicks,0.012703157108163646
through_balls,0.0013076779376050812
passes_pressure,0.11395479170558566
passes_switches,0.01475807958154306
crosses,0.003923033812815244
corner_kicks,0.0005604334018307491
passes_intercepted,0.010274612366897067
passes_blocked,0.010648234634784233
dispossessed,0.013450401643937978
goals,0.00018681113394358303
assists,0.0007472445357743321
pens_made,0.0
pens_att,0.0
shots_total,0.005791145152251074
shots_on_target,0.0014944890715486642
sca,0.018867924528301886
gca,0.0016813002054922473
xg,0.0003175789277040912
crosses_into_penalty_area,0.0005604334018307491
passes_into_final_third,0.047450028021670095
passes_into_penalty_area,0.00429665608070241
progressive_passes,0.03997758266392677
carry_progressive_distance,1.512983373809079
assisted_shots,0.008780123295348403
fouled,0.013637212777881562
pens_won,0.0
tackles,0.02447225854660938
interceptions,0.012142723706332898
blocks,0.02279095834111713
tackles_won,0.017560246590696806
dribble_tackles,0.00803287875957407
dribbles_vs,0.028208481225481037
pressures,0.22996450588455072
pressure_regains,0.05828507379039791
clearances,0.01662619092097889
errors,0.0007472445357743321
aerials_won,0.007846067625630488
aerials_lost,0.007846067625630488
ball_recoveries,0.09265832243601718
pens_conceded,0.00018681113394358303
fouls,0.01643937978703531
cards_yellow_red,0.0
