position,GK
passes_completed,0.26891133557800223
passes,0.3461279461279461
dribbles_completed,0.0001122334455667789
dribbles,0.0001122334455667789
passes_completed_short,0.03198653198653199
passes_short,0.03254769921436588
passes_completed_medium,0.13254769921436588
passes_medium,0.13445566778900112
passes_completed_long,0.10415263748597083
passes_long,0.1787878787878788
passes_total_distance,8.30314253647587
passes_free_kicks,0.017508417508417508
through_balls,0.0
passes_pressure,0.04040404040404041
passes_switches,0.00909090909090909
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0017957351290684624
passes_blocked,0.0005611672278338945
dispossessed,0.0002244668911335578
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,0.0006734006734006734
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,0.003591470258136925
passes_into_penalty_area,0.0
progressive_passes,0.0001122334455667789
carry_progressive_distance,0.4799102132435466
assisted_shots,0.0
fouled,0.0017957351290684624
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,0.0005611672278338945
pressures,0.0005611672278338945
pressure_regains,0.0001122334455667789
clearances,0.0001122334455667789
errors,0.0005611672278338945
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,0.048372615039281704
pens_conceded,0.0001122334455667789
fouls,0.0002244668911335578
cards_yellow_red,0.0
