position,GK
minutes,6660.0
passes_completed,1952.0
passes,2491.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,373.0
passes_short,378.0
passes_completed_medium,949.0
passes_medium,969.0
passes_completed_long,622.0
passes_long,1133.0
passes_total_distance,53060.0
passes_free_kicks,161.0
through_balls,0.0
passes_pressure,268.0
passes_switches,46.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,22.0
passes_blocked,8.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,9.0
gca,1.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,12.0
passes_into_penalty_area,0.0
progressive_passes,2.0
carry_progressive_distance,3337.0
assisted_shots,2.0
fouled,7.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,1.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,6.0
pressures,16.0
pressure_regains,4.0
clearances,5.0
errors,4.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,360.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
