position,AM
minutes,1134.0
passes_completed,0.4620811287477954
passes,0.54673721340388
dribbles_completed,0.012345679012345678
dribbles,0.019400352733686066
passes_completed_short,0.17195767195767195
passes_short,0.2054673721340388
passes_completed_medium,0.1966490299823633
passes_medium,0.22839506172839505
passes_completed_long,0.08465608465608465
passes_long,0.09347442680776014
passes_total_distance,9.265432098765432
passes_free_kicks,0.005291005291005291
through_balls,0.001763668430335097
passes_pressure,0.11904761904761904
passes_switches,0.021164021164021163
crosses,0.004409171075837742
corner_kicks,0.0
passes_intercepted,0.005291005291005291
passes_blocked,0.013227513227513227
dispossessed,0.01763668430335097
goals,0.005291005291005291
assists,0.001763668430335097
pens_made,0.0
pens_att,0.0
shots_total,0.027336860670194002
shots_on_target,0.010582010582010581
sca,0.03350970017636684
gca,0.003527336860670194
xg,0.004056437389770723
crosses_into_penalty_area,0.001763668430335097
passes_into_final_third,0.04673721340388007
passes_into_penalty_area,0.012345679012345678
progressive_passes,0.04144620811287478
carry_progressive_distance,1.236331569664903
assisted_shots,0.014991181657848324
fouled,0.007936507936507936
pens_won,0.0
tackles,0.01675485008818342
interceptions,0.007936507936507936
blocks,0.014109347442680775
tackles_won,0.014991181657848324
dribble_tackles,0.005291005291005291
dribbles_vs,0.021164021164021163
pressures,0.24074074074074073
pressure_regains,0.05731922398589065
clearances,0.010582010582010581
errors,0.001763668430335097
aerials_won,0.019400352733686066
aerials_lost,0.024691358024691357
ball_recoveries,0.08112874779541446
pens_conceded,0.0
fouls,0.013227513227513227
cards_yellow_red,0.0
