position,CM
minutes,1475.0
passes_completed,0.48677966101694914
passes,0.5572881355932203
dribbles_completed,0.009491525423728813
dribbles,0.010169491525423728
passes_completed_short,0.19322033898305085
passes_short,0.20677966101694914
passes_completed_medium,0.2033898305084746
passes_medium,0.22440677966101694
passes_completed_long,0.08067796610169492
passes_long,0.11050847457627119
passes_total_distance,9.546440677966102
passes_free_kicks,0.007457627118644068
through_balls,0.0013559322033898306
passes_pressure,0.10983050847457627
passes_switches,0.018983050847457626
crosses,0.005423728813559322
corner_kicks,0.0
passes_intercepted,0.006779661016949152
passes_blocked,0.005423728813559322
dispossessed,0.008813559322033898
goals,0.0013559322033898306
assists,0.0006779661016949153
pens_made,0.0
pens_att,0.0
shots_total,0.022372881355932205
shots_on_target,0.0047457627118644066
sca,0.021016949152542375
gca,0.004067796610169492
xg,0.0015593220338983049
crosses_into_penalty_area,0.003389830508474576
passes_into_final_third,0.0488135593220339
passes_into_penalty_area,0.008135593220338983
progressive_passes,0.04406779661016949
carry_progressive_distance,1.4623728813559322
assisted_shots,0.004067796610169492
fouled,0.01288135593220339
pens_won,0.0
tackles,0.02440677966101695
interceptions,0.008813559322033898
blocks,0.01152542372881356
tackles_won,0.017627118644067796
dribble_tackles,0.003389830508474576
dribbles_vs,0.014915254237288136
pressures,0.18372881355932202
pressure_regains,0.06644067796610169
clearances,0.01423728813559322
errors,0.0
aerials_won,0.004067796610169492
aerials_lost,0.007457627118644068
ball_recoveries,0.10508474576271186
pens_conceded,0.0
fouls,0.018983050847457626
cards_yellow_red,0.0
