position,RM
minutes,7730.0
passes_completed,1594.0
passes,2750.0
dribbles_completed,99.0
dribbles,200.0
passes_completed_short,821.0
passes_short,1180.0
passes_completed_medium,520.0
passes_medium,874.0
passes_completed_long,197.0
passes_long,488.0
passes_total_distance,27566.0
passes_free_kicks,40.0
through_balls,8.0
passes_pressure,699.0
passes_switches,144.0
crosses,283.0
corner_kicks,39.0
passes_intercepted,77.0
passes_blocked,174.0
dispossessed,166.0
goals,28.0
assists,15.0
pens_made,4.0
pens_att,7.0
shots_total,268.0
shots_on_target,79.0
sca,257.0
gca,26.0
xg,34.3
crosses_into_penalty_area,50.0
passes_into_final_third,146.0
passes_into_penalty_area,105.0
progressive_passes,198.0
carry_progressive_distance,7370.0
assisted_shots,133.0
fouled,126.0
pens_won,0.0
tackles,81.0
interceptions,26.0
blocks,77.0
tackles_won,50.0
dribble_tackles,27.0
dribbles_vs,100.0
pressures,1100.0
pressure_regains,275.0
clearances,37.0
errors,1.0
aerials_won,207.0
aerials_lost,250.0
ball_recoveries,418.0
pens_conceded,2.0
fouls,230.0
cards_yellow_red,0.0
