position,GK
minutes,8010.0
passes_completed,1914.0
passes,2449.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,380.0
passes_short,382.0
passes_completed_medium,984.0
passes_medium,1004.0
passes_completed_long,546.0
passes_long,1057.0
passes_total_distance,50739.0
passes_free_kicks,150.0
through_balls,0.0
passes_pressure,209.0
passes_switches,47.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,14.0
passes_blocked,6.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,4.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,4.0
passes_into_penalty_area,0.0
progressive_passes,1.0
carry_progressive_distance,2511.0
assisted_shots,0.0
fouled,8.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,6.0
pressures,8.0
pressure_regains,3.0
clearances,1.0
errors,1.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,391.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
