position,LW
minutes,5212.0
passes_completed,3797.0
passes,4483.0
dribbles_completed,127.0
dribbles,209.0
passes_completed_short,2178.0
passes_short,2404.0
passes_completed_medium,1295.0
passes_medium,1477.0
passes_completed_long,243.0
passes_long,393.0
passes_total_distance,59085.0
passes_free_kicks,41.0
through_balls,6.0
passes_pressure,646.0
passes_switches,91.0
crosses,150.0
corner_kicks,8.0
passes_intercepted,81.0
passes_blocked,163.0
dispossessed,102.0
goals,9.0
assists,14.0
pens_made,0.0
pens_att,0.0
shots_total,64.0
shots_on_target,29.0
sca,132.0
gca,28.0
xg,5.5
crosses_into_penalty_area,27.0
passes_into_final_third,224.0
passes_into_penalty_area,77.0
progressive_passes,341.0
carry_progressive_distance,13391.0
assisted_shots,50.0
fouled,91.0
pens_won,0.0
tackles,109.0
interceptions,50.0
blocks,103.0
tackles_won,67.0
dribble_tackles,45.0
dribbles_vs,131.0
pressures,881.0
pressure_regains,277.0
clearances,80.0
errors,1.0
aerials_won,35.0
aerials_lost,34.0
ball_recoveries,526.0
pens_conceded,0.0
fouls,46.0
cards_yellow_red,0.0
