position,GK
minutes,6641.0
passes_completed,1589.0
passes,1931.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,210.0
passes_short,210.0
passes_completed_medium,715.0
passes_medium,723.0
passes_completed_long,658.0
passes_long,989.0
passes_total_distance,48084.0
passes_free_kicks,115.0
through_balls,0.0
passes_pressure,156.0
passes_switches,107.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,7.0
passes_blocked,3.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,6.0
gca,1.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,7.0
passes_into_penalty_area,1.0
progressive_passes,0.0
carry_progressive_distance,2104.0
assisted_shots,1.0
fouled,4.0
pens_won,0.0
tackles,1.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,3.0
pressure_regains,0.0
clearances,2.0
errors,5.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,320.0
pens_conceded,1.0
fouls,2.0
cards_yellow_red,0.0
