position,RB
passes_completed,0.5891291642314436
passes,0.7346580946814728
dribbles_completed,0.007597895967270602
dribbles,0.015975063315799728
passes_completed_short,0.24663939216832262
passes_short,0.27196571205922465
passes_completed_medium,0.27216052990453926
passes_medium,0.3218390804597701
passes_completed_long,0.062341710500681866
passes_long,0.11786479641535165
passes_total_distance,10.857198519384376
passes_free_kicks,0.010714981492304695
through_balls,0.0009740892265731541
passes_pressure,0.09234365867913501
passes_switches,0.014026884862653419
crosses,0.027274498344048315
corner_kicks,0.0001948178453146308
passes_intercepted,0.010909799337619326
passes_blocked,0.01928696668614845
dispossessed,0.006818624586012079
goals,0.0005844535359438924
assists,0.0011689070718877848
pens_made,0.0
pens_att,0.0
shots_total,0.006039353204753555
shots_on_target,0.0015585427625170465
sca,0.022209234365867914
gca,0.003117085525034093
xg,0.0003896356906292616
crosses_into_penalty_area,0.007403078121955971
passes_into_final_third,0.05396454315215274
passes_into_penalty_area,0.012273524254821741
progressive_passes,0.0568868108318722
carry_progressive_distance,1.731346191311124
assisted_shots,0.00954607442041691
fouled,0.010909799337619326
pens_won,0.0
tackles,0.037210208455094484
interceptions,0.010909799337619326
blocks,0.026690044808104423
tackles_won,0.019676602376777715
dribble_tackles,0.015195791934541203
dribbles_vs,0.034482758620689655
pressures,0.1909214884083382
pressure_regains,0.05415936099746737
clearances,0.03331385154880187
errors,0.0005844535359438924
aerials_won,0.006623806740697448
aerials_lost,0.00720826027664134
ball_recoveries,0.11143580751996883
pens_conceded,0.0
fouls,0.011299435028248588
cards_yellow_red,0.0003896356906292616
