position,RM
passes_completed,0.3078393881453155
passes,0.40344168260038243
dribbles_completed,0.015296367112810707
dribbles,0.021032504780114723
passes_completed_short,0.13001912045889102
passes_short,0.15487571701720843
passes_completed_medium,0.13193116634799235
passes_medium,0.16443594646271512
passes_completed_long,0.04206500956022945
passes_long,0.06883365200764818
passes_total_distance,5.617590822179732
passes_free_kicks,0.009560229445506692
through_balls,0.0038240917782026767
passes_pressure,0.0745697896749522
passes_switches,0.0038240917782026767
crosses,0.0076481835564053535
corner_kicks,0.0038240917782026767
passes_intercepted,0.0076481835564053535
passes_blocked,0.017208413001912046
dispossessed,0.0057361376673040155
goals,0.0
assists,0.0019120458891013384
pens_made,0.0
pens_att,0.0
shots_total,0.015296367112810707
shots_on_target,0.0057361376673040155
sca,0.019120458891013385
gca,0.0038240917782026767
xg,0.0019120458891013384
crosses_into_penalty_area,0.0019120458891013384
passes_into_final_third,0.05353728489483748
passes_into_penalty_area,0.009560229445506692
progressive_passes,0.04206500956022945
carry_progressive_distance,0.7036328871892925
assisted_shots,0.009560229445506692
fouled,0.009560229445506692
pens_won,0.0
tackles,0.01338432122370937
interceptions,0.017208413001912046
blocks,0.0248565965583174
tackles_won,0.0019120458891013384
dribble_tackles,0.0019120458891013384
dribbles_vs,0.022944550669216062
pressures,0.32504780114722753
pressure_regains,0.06118546845124283
clearances,0.0057361376673040155
errors,0.0
aerials_won,0.0019120458891013384
aerials_lost,0.011472275334608031
ball_recoveries,0.08604206500956023
pens_conceded,0.0
fouls,0.02676864244741874
cards_yellow_red,0.0
