position,AM
passes_completed,0.38424657534246576
passes,0.5157534246575343
dribbles_completed,0.018835616438356163
dribbles,0.031164383561643836
passes_completed_short,0.18732876712328766
passes_short,0.2267123287671233
passes_completed_medium,0.14006849315068493
passes_medium,0.17534246575342466
passes_completed_long,0.046917808219178084
passes_long,0.08527397260273972
passes_total_distance,6.771917808219178
passes_free_kicks,0.003767123287671233
through_balls,0.003767123287671233
passes_pressure,0.10924657534246575
passes_switches,0.02054794520547945
crosses,0.022602739726027398
corner_kicks,0.014041095890410958
passes_intercepted,0.014726027397260274
passes_blocked,0.021917808219178082
dispossessed,0.0273972602739726
goals,0.0013698630136986301
assists,0.004452054794520548
pens_made,0.0
pens_att,0.0
shots_total,0.0273972602739726
shots_on_target,0.007534246575342466
sca,0.05856164383561644
gca,0.006506849315068493
xg,0.001849315068493151
crosses_into_penalty_area,0.003767123287671233
passes_into_final_third,0.04863013698630137
passes_into_penalty_area,0.02671232876712329
progressive_passes,0.06815068493150685
carry_progressive_distance,2.1205479452054794
assisted_shots,0.032534246575342464
fouled,0.018493150684931507
pens_won,0.00034246575342465754
tackles,0.010273972602739725
interceptions,0.00410958904109589
blocks,0.00684931506849315
tackles_won,0.00821917808219178
dribble_tackles,0.002397260273972603
dribbles_vs,0.013356164383561644
pressures,0.17636986301369864
pressure_regains,0.039383561643835614
clearances,0.00684931506849315
errors,0.0
aerials_won,0.00684931506849315
aerials_lost,0.005479452054794521
ball_recoveries,0.07705479452054795
pens_conceded,0.0
fouls,0.014383561643835616
cards_yellow_red,0.0
