position,WB
minutes,3893.0
passes_completed,1266.0
passes,1820.0
dribbles_completed,77.0
dribbles,111.0
passes_completed_short,441.0
passes_short,540.0
passes_completed_medium,595.0
passes_medium,783.0
passes_completed_long,219.0
passes_long,429.0
passes_total_distance,26067.0
passes_free_kicks,60.0
through_balls,3.0
passes_pressure,271.0
passes_switches,82.0
crosses,119.0
corner_kicks,70.0
passes_intercepted,44.0
passes_blocked,93.0
dispossessed,44.0
goals,2.0
assists,5.0
pens_made,0.0
pens_att,0.0
shots_total,41.0
shots_on_target,16.0
sca,135.0
gca,17.0
xg,2.5999999999999996
crosses_into_penalty_area,22.0
passes_into_final_third,111.0
passes_into_penalty_area,58.0
progressive_passes,178.0
carry_progressive_distance,4261.0
assisted_shots,68.0
fouled,49.0
pens_won,0.0
tackles,104.0
interceptions,34.0
blocks,82.0
tackles_won,71.0
dribble_tackles,31.0
dribbles_vs,82.0
pressures,773.0
pressure_regains,260.0
clearances,97.0
errors,0.0
aerials_won,41.0
aerials_lost,39.0
ball_recoveries,411.0
pens_conceded,0.0
fouls,41.0
cards_yellow_red,0.0
