position,DF
passes_completed,0.283003300330033
passes,0.3787128712871287
dribbles_completed,0.0033003300330033004
dribbles,0.009900990099009901
passes_completed_short,0.10313531353135313
passes_short,0.12128712871287128
passes_completed_medium,0.14026402640264027
passes_medium,0.17326732673267325
passes_completed_long,0.034653465346534656
passes_long,0.07178217821782178
passes_total_distance,5.344059405940594
passes_free_kicks,0.0024752475247524753
through_balls,0.0
passes_pressure,0.056105610561056105
passes_switches,0.007425742574257425
crosses,0.0049504950495049506
corner_kicks,0.0
passes_intercepted,0.006600660066006601
passes_blocked,0.007425742574257425
dispossessed,0.013201320132013201
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.010726072607260726
shots_on_target,0.0016501650165016502
sca,0.010726072607260726
gca,0.0008250825082508251
xg,0.0002475247524752476
crosses_into_penalty_area,0.0
passes_into_final_third,0.02392739273927393
passes_into_penalty_area,0.0033003300330033004
progressive_passes,0.018151815181518153
carry_progressive_distance,1.1773927392739274
assisted_shots,0.0049504950495049506
fouled,0.01485148514851485
pens_won,0.0
tackles,0.020627062706270627
interceptions,0.019801980198019802
blocks,0.01485148514851485
tackles_won,0.012376237623762377
dribble_tackles,0.0016501650165016502
dribbles_vs,0.014026402640264026
pressures,0.2037953795379538
pressure_regains,0.07095709570957096
clearances,0.022277227722772276
errors,0.0
aerials_won,0.005775577557755775
aerials_lost,0.009900990099009901
ball_recoveries,0.13448844884488448
pens_conceded,0.0
fouls,0.0165016501650165
cards_yellow_red,0.0
