position,RM
minutes,556.0
passes_completed,0.15827338129496402
passes,0.23201438848920863
dribbles_completed,0.0035971223021582736
dribbles,0.008992805755395683
passes_completed_short,0.09892086330935251
passes_short,0.12769784172661872
passes_completed_medium,0.039568345323741004
passes_medium,0.06474820143884892
passes_completed_long,0.012589928057553957
passes_long,0.017985611510791366
passes_total_distance,2.3345323741007196
passes_free_kicks,0.00539568345323741
through_balls,0.0035971223021582736
passes_pressure,0.04316546762589928
passes_switches,0.0035971223021582736
crosses,0.017985611510791366
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,0.012589928057553957
dispossessed,0.00539568345323741
goals,0.0017985611510791368
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.02158273381294964
shots_on_target,0.007194244604316547
sca,0.01618705035971223
gca,0.0017985611510791368
xg,0.0035971223021582736
crosses_into_penalty_area,0.0017985611510791368
passes_into_final_third,0.008992805755395683
passes_into_penalty_area,0.0035971223021582736
progressive_passes,0.01079136690647482
carry_progressive_distance,0.9388489208633094
assisted_shots,0.008992805755395683
fouled,0.01079136690647482
pens_won,0.0
tackles,0.01618705035971223
interceptions,0.0017985611510791368
blocks,0.025179856115107913
tackles_won,0.008992805755395683
dribble_tackles,0.0035971223021582736
dribbles_vs,0.02697841726618705
pressures,0.22841726618705036
pressure_regains,0.048561151079136694
clearances,0.017985611510791366
errors,0.0
aerials_won,0.02158273381294964
aerials_lost,0.02158273381294964
ball_recoveries,0.06294964028776978
pens_conceded,0.0
fouls,0.007194244604316547
cards_yellow_red,0.0
