position,WB
minutes,1188.0
passes_completed,0.3947811447811448
passes,0.5462962962962963
dribbles_completed,0.02356902356902357
dribbles,0.047979797979797977
passes_completed_short,0.21548821548821548
passes_short,0.25084175084175087
passes_completed_medium,0.14983164983164984
passes_medium,0.20286195286195285
passes_completed_long,0.026094276094276093
passes_long,0.06228956228956229
passes_total_distance,6.4326599326599325
passes_free_kicks,0.005892255892255892
through_balls,0.0
passes_pressure,0.09764309764309764
passes_switches,0.011784511784511785
crosses,0.037037037037037035
corner_kicks,0.0016835016835016834
passes_intercepted,0.010101010101010102
passes_blocked,0.03367003367003367
dispossessed,0.027777777777777776
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.008417508417508417
shots_on_target,0.003367003367003367
sca,0.015993265993265993
gca,0.0
xg,0.00042087542087542086
crosses_into_penalty_area,0.008417508417508417
passes_into_final_third,0.01936026936026936
passes_into_penalty_area,0.009259259259259259
progressive_passes,0.02441077441077441
carry_progressive_distance,2.644781144781145
assisted_shots,0.008417508417508417
fouled,0.011784511784511785
pens_won,0.0
tackles,0.030303030303030304
interceptions,0.016835016835016835
blocks,0.022727272727272728
tackles_won,0.015993265993265993
dribble_tackles,0.009259259259259259
dribbles_vs,0.015151515151515152
pressures,0.1776094276094276
pressure_regains,0.05387205387205387
clearances,0.02441077441077441
errors,0.0
aerials_won,0.009259259259259259
aerials_lost,0.017676767676767676
ball_recoveries,0.09343434343434344
pens_conceded,0.0
fouls,0.011784511784511785
cards_yellow_red,0.0
