Lionel Messi,RW
Kylian Mbappé, FW
Neymar,LW
Harry Kane,FW
Frenkie de Jong,DM
Marquinhos,CB
Houssem Aouar,CM
Florian Thauvin,AM
Luis Suárez,FW
Luka Modrić,CM
Wissam Ben Yedder,FW
Santi Cazorla,LM
Koke,CM
Sergio Ramos,CB
Jesús Navas,RB
Marcelo,LB
Robert Lewandowski,FW
Serge Gnabry,RW
Thomas Müller,AM
Julian Brandt,LM
Axel Witsel,DM
Mats Hummels,CB
Lars Bender,RB
Zlatan Ibrahimović,FW
Christian Eriksen,AM
Aaron Ramsey,CM
Giorgio Chiellini,CB
Kalidou Koulibaly,CB
Juan Cuadrado,RB
Dries Mertens,FW
Romelu Lukaku,FW
Sadio Mané,LW
Marcus Rashford,LW
David Silva,CM
Paul Pogba,CM
Jack Grealish,LW
Andrew Robertson,LB
Riyad Mahrez,RW
Timo Werner,FW
Mohamed Salah,RW
