0.0,0.0
1482.0,48.0
545.0,317.0
663.0,320.0
10.0,4.0
21.0,14.0
157.5,48.5
188.0,38.0
280.5,200.5
318.5,207.5
102.5,68.5
141.5,81.5
11811.0,7655.0
19.0,16.0
2.5,1.5
117.5,10.5
21.5,12.5
6.5,5.5
0.0,0.0
8.0,1.0
11.0,6.0
17.0,10.0
4.5,4.5
1.5,0.5
0.5,0.5
0.5,0.5
30.5,13.5
9.5,5.5
24.0,6.0
1.0,1.0
2.749999999999999,1.8499999999999994
0.5,0.5
49.5,17.5
5.0,3.0
42.5,1.5
2506.5,1337.5
13.0,2.0
15.5,7.5
0.0,0.0
13.5,3.5
12.5,8.5
19.5,2.5
7.5,2.5
4.0,2.0
11.5,0.5
199.5,91.5
50.0,7.0
67.0,50.0
0.0,0.0
64.0,20.0
48.0,18.0
119.0,60.0
0.0,0.0
17.5,5.5
0.0,0.0
