position,LM
minutes,72
passes_completed,16
passes,22
dribbles_completed,0
dribbles,0
passes_completed_short,10
passes_short,13
passes_completed_medium,2
passes_medium,4
passes_completed_long,3
passes_long,4
passes_total_distance,255
passes_free_kicks,0
through_balls,1
passes_pressure,6
passes_switches,0
crosses,0
corner_kicks,0
passes_intercepted,0
passes_blocked,0
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,0
shots_on_target,0
sca,3
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,0
passes_into_penalty_area,0
progressive_passes,2
carry_progressive_distance,35
assisted_shots,2
fouled,1
pens_won,0
tackles,3
interceptions,1
blocks,2
tackles_won,3
dribble_tackles,2
dribbles_vs,4
pressures,12
pressure_regains,2
clearances,0
errors,0
aerials_won,1
aerials_lost,1
ball_recoveries,5
pens_conceded,0
fouls,1
cards_yellow_red,0
