position,LB
minutes,810.0
passes_completed,284.0
passes,381.0
dribbles_completed,3.0
dribbles,4.0
passes_completed_short,136.0
passes_short,155.0
passes_completed_medium,126.0
passes_medium,159.0
passes_completed_long,21.0
passes_long,62.0
passes_total_distance,4926.0
passes_free_kicks,5.0
through_balls,0.0
passes_pressure,58.0
passes_switches,6.0
crosses,13.0
corner_kicks,0.0
passes_intercepted,6.0
passes_blocked,8.0
dispossessed,4.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,4.0
shots_on_target,1.0
sca,8.0
gca,1.0
xg,0.1
crosses_into_penalty_area,1.0
passes_into_final_third,9.0
passes_into_penalty_area,2.0
progressive_passes,24.0
carry_progressive_distance,663.0
assisted_shots,3.0
fouled,11.0
pens_won,0.0
tackles,16.0
interceptions,16.0
blocks,22.0
tackles_won,11.0
dribble_tackles,9.0
dribbles_vs,11.0
pressures,112.0
pressure_regains,33.0
clearances,26.0
errors,0.0
aerials_won,11.0
aerials_lost,2.0
ball_recoveries,76.0
pens_conceded,0.0
fouls,8.0
cards_yellow_red,0.0
