position,RM
minutes,90
passes_completed,29
passes,37
dribbles_completed,1
dribbles,1
passes_completed_short,10
passes_short,13
passes_completed_medium,12
passes_medium,14
passes_completed_long,6
passes_long,8
passes_total_distance,617
passes_free_kicks,0
through_balls,0
passes_pressure,4
passes_switches,1
crosses,2
corner_kicks,0
passes_intercepted,2
passes_blocked,0
dispossessed,1
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,3
shots_on_target,1
sca,5
gca,0
xg,0.4
crosses_into_penalty_area,1
passes_into_final_third,4
passes_into_penalty_area,1
progressive_passes,4
carry_progressive_distance,49
assisted_shots,0
fouled,1
pens_won,0
tackles,1
interceptions,0
blocks,1
tackles_won,1
dribble_tackles,0
dribbles_vs,4
pressures,22
pressure_regains,5
clearances,0
errors,0
aerials_won,1
aerials_lost,1
ball_recoveries,4
pens_conceded,0
fouls,3
cards_yellow_red,0
