position,RM
minutes,360.0
passes_completed,87.0
passes,115.0
dribbles_completed,2.0
dribbles,3.0
passes_completed_short,39.0
passes_short,53.0
passes_completed_medium,33.0
passes_medium,35.0
passes_completed_long,12.0
passes_long,21.0
passes_total_distance,1599.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,21.0
passes_switches,6.0
crosses,5.0
corner_kicks,0.0
passes_intercepted,5.0
passes_blocked,2.0
dispossessed,3.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,5.0
shots_on_target,2.0
sca,9.0
gca,0.0
xg,0.30000000000000004
crosses_into_penalty_area,4.0
passes_into_final_third,10.0
passes_into_penalty_area,6.0
progressive_passes,11.0
carry_progressive_distance,153.0
assisted_shots,6.0
fouled,4.0
pens_won,0.0
tackles,12.0
interceptions,2.0
blocks,6.0
tackles_won,8.0
dribble_tackles,6.0
dribbles_vs,19.0
pressures,130.0
pressure_regains,28.0
clearances,5.0
errors,0.0
aerials_won,7.0
aerials_lost,6.0
ball_recoveries,33.0
pens_conceded,0.0
fouls,7.0
cards_yellow_red,0.0
