position,LB
minutes,28
passes_completed,19
passes,26
dribbles_completed,0
dribbles,0
passes_completed_short,11
passes_short,16
passes_completed_medium,7
passes_medium,7
passes_completed_long,1
passes_long,3
passes_total_distance,331
passes_free_kicks,0
through_balls,0
passes_pressure,5
passes_switches,1
crosses,1
corner_kicks,0
passes_intercepted,0
passes_blocked,0
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,0
sca,0
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,5
passes_into_penalty_area,1
progressive_passes,8
carry_progressive_distance,137
assisted_shots,0
fouled,1
pens_won,0
tackles,0
interceptions,1
blocks,0
tackles_won,0
dribble_tackles,0
dribbles_vs,0
pressures,6
pressure_regains,1
clearances,1
errors,0
aerials_won,2
aerials_lost,2
ball_recoveries,10
pens_conceded,0
fouls,1
cards_yellow_red,0
