position,RM
minutes,90
passes_completed,39
passes,56
dribbles_completed,1
dribbles,3
passes_completed_short,19
passes_short,21
passes_completed_medium,14
passes_medium,22
passes_completed_long,4
passes_long,9
passes_total_distance,610
passes_free_kicks,1
through_balls,0
passes_pressure,2
passes_switches,1
crosses,3
corner_kicks,0
passes_intercepted,3
passes_blocked,3
dispossessed,1
goals,0
assists,1
pens_made,0
pens_att,0
shots_total,0
shots_on_target,0
sca,4
gca,1
xg,0.0
crosses_into_penalty_area,1
passes_into_final_third,1
passes_into_penalty_area,2
progressive_passes,3
carry_progressive_distance,81
assisted_shots,3
fouled,2
pens_won,0
tackles,6
interceptions,2
blocks,2
tackles_won,2
dribble_tackles,4
dribbles_vs,5
pressures,26
pressure_regains,7
clearances,2
errors,0
aerials_won,0
aerials_lost,1
ball_recoveries,6
pens_conceded,0
fouls,0
cards_yellow_red,0
