position,RM
minutes,228.0
passes_completed,70.0
passes,98.0
dribbles_completed,3.0
dribbles,3.0
passes_completed_short,33.0
passes_short,41.0
passes_completed_medium,30.0
passes_medium,39.0
passes_completed_long,7.0
passes_long,14.0
passes_total_distance,1188.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,19.0
passes_switches,5.0
crosses,4.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,1.0
dispossessed,3.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,2.0
shots_on_target,2.0
sca,3.0
gca,0.0
xg,0.30000000000000004
crosses_into_penalty_area,0.0
passes_into_final_third,6.0
passes_into_penalty_area,0.0
progressive_passes,8.0
carry_progressive_distance,149.0
assisted_shots,1.0
fouled,1.0
pens_won,0.0
tackles,9.0
interceptions,0.0
blocks,5.0
tackles_won,4.0
dribble_tackles,5.0
dribbles_vs,8.0
pressures,77.0
pressure_regains,21.0
clearances,5.0
errors,0.0
aerials_won,12.0
aerials_lost,5.0
ball_recoveries,23.0
pens_conceded,0.0
fouls,5.0
cards_yellow_red,0.0
