position,RW
minutes,346.0
passes_completed,62.0
passes,91.0
dribbles_completed,7.0
dribbles,12.0
passes_completed_short,36.0
passes_short,45.0
passes_completed_medium,22.0
passes_medium,30.0
passes_completed_long,1.0
passes_long,5.0
passes_total_distance,875.0
passes_free_kicks,1.0
through_balls,1.0
passes_pressure,25.0
passes_switches,1.0
crosses,5.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,8.0
dispossessed,9.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,6.0
shots_on_target,2.0
sca,7.0
gca,0.0
xg,0.6000000000000001
crosses_into_penalty_area,0.0
passes_into_final_third,2.0
passes_into_penalty_area,2.0
progressive_passes,4.0
carry_progressive_distance,399.0
assisted_shots,2.0
fouled,13.0
pens_won,0.0
tackles,6.0
interceptions,1.0
blocks,5.0
tackles_won,6.0
dribble_tackles,1.0
dribbles_vs,3.0
pressures,70.0
pressure_regains,21.0
clearances,2.0
errors,0.0
aerials_won,7.0
aerials_lost,18.0
ball_recoveries,21.0
pens_conceded,0.0
fouls,10.0
cards_yellow_red,0.0
