position,WB
minutes,1455.0
passes_completed,629.0
passes,817.0
dribbles_completed,21.0
dribbles,52.0
passes_completed_short,210.0
passes_short,263.0
passes_completed_medium,306.0
passes_medium,364.0
passes_completed_long,99.0
passes_long,137.0
passes_total_distance,12640.0
passes_free_kicks,10.0
through_balls,1.0
passes_pressure,113.0
passes_switches,23.0
crosses,23.0
corner_kicks,0.0
passes_intercepted,21.0
passes_blocked,47.0
dispossessed,29.0
goals,1.0
assists,3.0
pens_made,0.0
pens_att,0.0
shots_total,15.0
shots_on_target,3.0
sca,26.0
gca,5.0
xg,1.2
crosses_into_penalty_area,3.0
passes_into_final_third,29.0
passes_into_penalty_area,13.0
progressive_passes,57.0
carry_progressive_distance,2974.0
assisted_shots,12.0
fouled,23.0
pens_won,0.0
tackles,37.0
interceptions,15.0
blocks,39.0
tackles_won,26.0
dribble_tackles,13.0
dribbles_vs,41.0
pressures,304.0
pressure_regains,99.0
clearances,43.0
errors,1.0
aerials_won,8.0
aerials_lost,13.0
ball_recoveries,146.0
pens_conceded,0.0
fouls,16.0
cards_yellow_red,0.0
