position,AM
minutes,119.0
passes_completed,34.0
passes,48.0
dribbles_completed,6.0
dribbles,10.0
passes_completed_short,19.0
passes_short,21.0
passes_completed_medium,11.0
passes_medium,15.0
passes_completed_long,2.0
passes_long,4.0
passes_total_distance,494.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,20.0
passes_switches,0.0
crosses,2.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,4.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,1.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,1.0
passes_into_penalty_area,2.0
progressive_passes,3.0
carry_progressive_distance,280.0
assisted_shots,0.0
fouled,2.0
pens_won,0.0
tackles,2.0
interceptions,1.0
blocks,2.0
tackles_won,1.0
dribble_tackles,1.0
dribbles_vs,2.0
pressures,20.0
pressure_regains,6.0
clearances,3.0
errors,0.0
aerials_won,3.0
aerials_lost,6.0
ball_recoveries,8.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
