position,AM
minutes,166.0
passes_completed,41.0
passes,54.0
dribbles_completed,0.0
dribbles,3.0
passes_completed_short,25.0
passes_short,28.0
passes_completed_medium,8.0
passes_medium,14.0
passes_completed_long,7.0
passes_long,8.0
passes_total_distance,721.0
passes_free_kicks,0.0
through_balls,1.0
passes_pressure,11.0
passes_switches,2.0
crosses,4.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,3.0
dispossessed,3.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,1.0
sca,2.0
gca,1.0
xg,0.4
crosses_into_penalty_area,2.0
passes_into_final_third,5.0
passes_into_penalty_area,2.0
progressive_passes,3.0
carry_progressive_distance,176.0
assisted_shots,1.0
fouled,3.0
pens_won,0.0
tackles,1.0
interceptions,1.0
blocks,2.0
tackles_won,0.0
dribble_tackles,1.0
dribbles_vs,4.0
pressures,60.0
pressure_regains,14.0
clearances,0.0
errors,0.0
aerials_won,3.0
aerials_lost,2.0
ball_recoveries,9.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
