position,RB
minutes,270.0
passes_completed,146.0
passes,184.0
dribbles_completed,0.0
dribbles,1.0
passes_completed_short,49.0
passes_short,58.0
passes_completed_medium,73.0
passes_medium,87.0
passes_completed_long,24.0
passes_long,35.0
passes_total_distance,2996.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,49.0
passes_switches,6.0
crosses,3.0
corner_kicks,1.0
passes_intercepted,4.0
passes_blocked,6.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,0.0
sca,3.0
gca,0.0
xg,0.0
crosses_into_penalty_area,1.0
passes_into_final_third,5.0
passes_into_penalty_area,3.0
progressive_passes,15.0
carry_progressive_distance,318.0
assisted_shots,2.0
fouled,1.0
pens_won,0.0
tackles,5.0
interceptions,6.0
blocks,4.0
tackles_won,4.0
dribble_tackles,3.0
dribbles_vs,6.0
pressures,33.0
pressure_regains,5.0
clearances,5.0
errors,0.0
aerials_won,2.0
aerials_lost,3.0
ball_recoveries,29.0
pens_conceded,0.0
fouls,1.0
cards_yellow_red,0.0
