position,AM
minutes,1055.0
passes_completed,280.0
passes,384.0
dribbles_completed,13.0
dribbles,31.0
passes_completed_short,141.0
passes_short,169.0
passes_completed_medium,108.0
passes_medium,144.0
passes_completed_long,24.0
passes_long,52.0
passes_total_distance,4650.0
passes_free_kicks,14.0
through_balls,1.0
passes_pressure,75.0
passes_switches,11.0
crosses,29.0
corner_kicks,18.0
passes_intercepted,5.0
passes_blocked,14.0
dispossessed,16.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,42.0
shots_on_target,10.0
sca,35.0
gca,0.0
xg,2.4000000000000004
crosses_into_penalty_area,4.0
passes_into_final_third,19.0
passes_into_penalty_area,14.0
progressive_passes,31.0
carry_progressive_distance,1218.0
assisted_shots,19.0
fouled,24.0
pens_won,0.0
tackles,20.0
interceptions,7.0
blocks,15.0
tackles_won,13.0
dribble_tackles,7.0
dribbles_vs,19.0
pressures,257.0
pressure_regains,63.0
clearances,1.0
errors,0.0
aerials_won,7.0
aerials_lost,8.0
ball_recoveries,88.0
pens_conceded,0.0
fouls,19.0
cards_yellow_red,0.0
