position,AM
minutes,90
passes_completed,33
passes,50
dribbles_completed,2
dribbles,2
passes_completed_short,10
passes_short,14
passes_completed_medium,17
passes_medium,24
passes_completed_long,5
passes_long,9
passes_total_distance,699
passes_free_kicks,0
through_balls,1
passes_pressure,13
passes_switches,3
crosses,5
corner_kicks,0
passes_intercepted,3
passes_blocked,2
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,1
sca,1
gca,0
xg,0.1
crosses_into_penalty_area,1
passes_into_final_third,2
passes_into_penalty_area,3
progressive_passes,8
carry_progressive_distance,197
assisted_shots,1
fouled,0
pens_won,0
tackles,1
interceptions,0
blocks,2
tackles_won,1
dribble_tackles,1
dribbles_vs,5
pressures,23
pressure_regains,4
clearances,7
errors,0
aerials_won,1
aerials_lost,0
ball_recoveries,6
pens_conceded,0
fouls,2
cards_yellow_red,0
