position,LM
minutes,340.0
passes_completed,92.0
passes,142.0
dribbles_completed,12.0
dribbles,14.0
passes_completed_short,42.0
passes_short,53.0
passes_completed_medium,36.0
passes_medium,46.0
passes_completed_long,11.0
passes_long,35.0
passes_total_distance,1588.0
passes_free_kicks,8.0
through_balls,1.0
passes_pressure,16.0
passes_switches,10.0
crosses,17.0
corner_kicks,16.0
passes_intercepted,1.0
passes_blocked,12.0
dispossessed,5.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,7.0
shots_on_target,2.0
sca,10.0
gca,1.0
xg,0.30000000000000004
crosses_into_penalty_area,2.0
passes_into_final_third,4.0
passes_into_penalty_area,2.0
progressive_passes,2.0
carry_progressive_distance,431.0
assisted_shots,7.0
fouled,8.0
pens_won,0.0
tackles,2.0
interceptions,2.0
blocks,3.0
tackles_won,1.0
dribble_tackles,1.0
dribbles_vs,10.0
pressures,53.0
pressure_regains,16.0
clearances,1.0
errors,0.0
aerials_won,3.0
aerials_lost,3.0
ball_recoveries,22.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
