position,RM
minutes,1051.0
passes_completed,267.0
passes,396.0
dribbles_completed,17.0
dribbles,32.0
passes_completed_short,145.0
passes_short,171.0
passes_completed_medium,82.0
passes_medium,116.0
passes_completed_long,37.0
passes_long,93.0
passes_total_distance,4818.0
passes_free_kicks,22.0
through_balls,0.0
passes_pressure,53.0
passes_switches,17.0
crosses,29.0
corner_kicks,19.0
passes_intercepted,12.0
passes_blocked,16.0
dispossessed,16.0
goals,3.0
assists,2.0
pens_made,0.0
pens_att,1.0
shots_total,33.0
shots_on_target,7.0
sca,28.0
gca,4.0
xg,3.0
crosses_into_penalty_area,7.0
passes_into_final_third,20.0
passes_into_penalty_area,11.0
progressive_passes,34.0
carry_progressive_distance,824.0
assisted_shots,13.0
fouled,7.0
pens_won,0.0
tackles,6.0
interceptions,11.0
blocks,12.0
tackles_won,5.0
dribble_tackles,3.0
dribbles_vs,15.0
pressures,154.0
pressure_regains,35.0
clearances,6.0
errors,0.0
aerials_won,4.0
aerials_lost,3.0
ball_recoveries,93.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
